CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP
485;480;MUS;Maur¡cio;Mauritius;Mauricio
488;478;MRT;Mauritƒnia;Mauritania;Mauritania
489;898;ZZZ;Mayotte;Mayotte;Mayotte
490;581;UMI;Midway, Ilhas;Midway, Islands;Midways, Islas
493;484;MEX;M‚xico;Mexico;M‚xico
494;498;MDA;Mold via;Moldova;Moldova, Rep£blica de
495;492;MCO;M“naco;Monaco;M¢naco
497;496;MNG;Mong¢lia;Mongolia;Mongolia
498;499;MNE;Montenegro;Montenegro;Montenegro
499;583;FSM;Micron‚sia;Micronesia;Micronesia
501;500;MSR;Montserrat;Montserrat;Montserrat
505;508;MOZ;Mo‡ambique;Mozambique;Mozambique
507;516;NAM;Nam¡bia;Namibia;Namibia
508;520;NRU;Nauru;Nauru;Nauru
511;162;CXR;Christmas (Navidad), Ilha;Christmas Island;Navidad (Christmas), Isla
517;524;NPL;Nepal;Nepal;Nepal
521;558;NIC;Nicar gua;Nicaragua;Nicaragua
525;562;NER;N¡ger;Niger;N¡ger
528;566;NGA;Nig‚ria;Nigeria;Nigeria
531;570;NIU;Niue;Niue;Niue
535;574;NFK;Norfolk, Ilha;Norfolk Island;Norfolk, Islas
538;578;NOR;Noruega;Norway;Noruega
542;540;NCL;Nova Caled“nia;New Caledonia;Nueva Caledonia
545;598;PNG;Papua Nova Guin‚;Papua New Guinea;Papua Nueva Guinea
548;554;NZL;Nova Zelƒndia;New Zealand;Nueva Zelanda
551;548;VUT;Vanuatu;Vanuatu;Vanuatu
556;512;OMN;OmÆ;Oman;Om n
563;581;UMI;Pac¡fico, Ilhas do (Administra‡Æo dos EUA);Pacific, Islands of (U.S. Administration);Pac¡fico, las Islas (EE.UU administraci¢n)
566;581;UMI;Pac¡fico, Ilhas do (EUA);Pacific Islands (USA);Pac¡fico, Islas del (Estados Unidos)
569;581;UMI;Pac¡fico, Ilhas do (Territ¢rio Fideicomisso EUA);Pacifics, Islands of (U.S. trust territory);Pac¡fico, las islas (EE.UU. TERRITORIO EN FIDEICOMISO
573;528;NLD;Pa¡ses Baixos (Holanda);Netherlands;Pa¡ses Bajos
575;585;PLW;Palau;Palau;Palau
576;586;PAK;PaquistÆo;Pakistan;Pakist n
578;275;PSE;Palestina;Palestine;Palestina
580;591;PAN;Panam ;Panama;Panam 
583;598;PNG;Papua, Territ¢rio de;Papua territory;Territorio de Papua
586;600;PRY;Paraguai;Paraguay;Paraguay
589;604;PER;Peru;Peru;Per£
593;612;PCN;Pitcairn;Pitcairn;Pitcairn
599;258;PYF;Polin‚sia Francesa;French Polynesia;Polinesia Francesa
603;616;POL;Pol“nia;Poland;Polonia
607;620;PRT;Portugal;Portugal;Portugal
611;630;PRI;Porto Rico;Puerto Rico;Puerto Rico
623;404;KEN;Quˆnia;Kenya;Kenya
625;417;KGZ;QuirguistÆo;Kyrgyzstan;Kirguist n
628;826;GBR;Reino Unido;United Kingdom;Reino Unido
640;140;CAF;Rep£blica Centro-Africana;Central African Republic;Rep£blica Centroafricana
647;214;DOM;Rep£blica Dominicana;Dominican Republic;Rep£blica Dominicana
660;638;REU;ReuniÆo;Reunion;Reuni¢n
665;716;ZWE;Zimb bue;Zimbabwe;Zimbabwe
670;642;ROU;Romˆnia;Romania;Rumania
675;646;RWA;Ruanda;Rwanda;Ruanda
676;643;RUS;R£ssia;Russia;Rusia
677;090;SLB;SalomÆo, Ilhas;Solomon Islands;Salom¢n, Islas
678;659;KNA;Saint Kitts e Nevis;St. Kitts and Nevis;St. Kitts y Nevis
685;732;ESH;Saara Ocidental;Western Sahara;Sahara Occidental
687;222;SLV;El Salvador;El Salvador;El Salvador
690;882;WSM;Samoa;Samoa;Samoa
691;016;ASM;Samoa Americana;Americana Samoa;Samoa Americana
693;652;BLM;SÆo Bartolomeu;Saint Barthelemy;San Bartolom‚
695;659;KNA;SÆo Crist¢vÆo e N‚vis;Saint Christopher and Nevis;Saint Kitts y Nevis
697;674;SMR;San Marino;San Marino;San Marino
698;898;ZZZ;SÆo Martinho, Ilha de (parte francesa);SÆo Martinho, Ilha de (parte francesa);SÆo Martinho, Ilha de (parte francesa)
699;534;SXM;Sint Maarten;Sint Maarten;Sint Maarten
700;666;SPM;SÆo Pedro e Miquelon;Saint Pierre and Miquelon;Saint Pierre y Miquelon
705;670;VCT;SÆo Vicente e Granadinas;Saint Vicent and the Granadines;San Vicente y las Granadinas
710;654;SHN;Santa Helena;Saint Helena;Santa Helena, Ascenci¢n y Trist n de Acu¤a
715;662;LCA;Santa L£cia;Saint Lucia;Santa Lucia
720;678;STP;SÆo Tom‚ e Pr¡ncipe;SÆo Tome and Principe;Santo Tom‚ y Pr¡ncipe
728;686;SEN;Senegal;Senegal;Senegal
731;690;SYC;Seicheles;Seychelles;Seychelles
735;694;SLE;Serra Leoa;Sierra Leone;Sierra Leona
737;688;SRB;S‚rvia;Serbia;Serbia
741;702;SGP;Cingapura;Singapore;Singapur
744;760;SYR;S¡ria;Syria;Siria
748;706;SOM;Som lia;Somalia;Somalia
750;144;LKA;Sri Lanka;Sri Lanka;Sri Lanka
754;748;SWZ;Suazilƒndia;Swaziland;Swazilandia
756;710;ZAF;µfrica do Sul;South Africa;Sud frica
759;736;SDN;SudÆo;Sudan;Sud n
760;728;SSD;SudÆo do Sul;South Sudan;Sud n del Sur
764;752;SWE;Su‚cia;Sweden;Suecia
767;756;CHE;Su¡‡a;Switzerland;Suiza
770;740;SUR;Suriname;Suriname;Suriname
772;762;TJK;TadjiquistÆo;Tajikistan;Tayikist n
776;764;THA;Tailƒndia;Thailand;Tailandia
780;834;TZA;Tanzƒnia;Tanzania;Tanzan¡a
781;898;ATF;Terras Austrais Francesas;French Southern Lands;Tierras Australes Francesas
782;086;IOT;Territ¢rio Britƒnico do Oceano Öndico;British Indian Ocean Territory;Territorio Brit nico del Oc‚ano Indico
783;262;DJI;Djibuti;Djibouti;Djibouti
785;898;ZZZ;Territ¢rio da Alta ComissÆo do Pac¡fico Ocidental;Territory of the High Commissioner of the Western Pacif;Territorio del Alto Comisionado del Pac¡fico Occidental
786;826;GBR;Territ¢rio Ant rtico Britƒnico;British Antarctic Territory;Territorio Ant rtico Brit nico
788;148;TCD;Chade;Chad;Chad
790;200;CSK;Tchecoslov quia;Czechoslovakia;Checoslovaquia
791;203;CZE;Tcheca, Rep£blica;Czech Republic;Rep£blica Checa
795;626;TLS;Timor Leste;East Timor;Timor Leste
800;768;TGO;Togo;Togo;Togo
805;772;TKL;Toquelau;Tokelau;Tokelau
810;776;TON;Tonga;Tonga;Tonga
815;780;TTO;Trinidad e Tobago;Trinidad and Tobago;Trinidad y Tobago
820;788;TUN;Tun¡sia;Tunisia;T£nez
823;796;TCA;Turcas e Caicos, Ilhas;Turks and Caicos, Islands;Turcas y Caicos, Islas
824;795;TKM;TurcomenistÆo;Turkmenistan;Turkmenist n
827;792;TUR;Turquia;Turkey;Turqu¡a
828;798;TUV;Tuvalu;Tuvalu;Tuvalu
831;804;UKR;Ucrƒnia;Ukraine;Ucrania
833;800;UGA;Uganda;Uganda;Uganda
840;898;ZZZ;UniÆo das Rep£blicas Socialistas Sovi‚ticas;Union of Soviet Socialist Republics;Uni¢n de Rep£blicas Socialistas Sovi‚ticas
845;858;URY;Uruguai;Uruguay;Uruguay
847;860;UZB;UzbequistÆo;Uzbekistan;Uzbekist n
848;336;VAT;Vaticano;Vatican City;Santa Sede (Vaticano)
850;862;VEN;Venezuela;Venezuela;Venezuela
858;704;VNM;VietnÆ;Vietnam;Viet Nam
863;092;VGB;Virgens, Ilhas (Britƒnicas);Virgin Islands (UK);V¡rgenes Brit nicas, Islas
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA);V¡rgenes de los Estados Unidos, Islas
870;242;FJI;Fiji;Fiji;Fiji
873;840;USA;Wake, Ilha;Wake Island;Isla Wake
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna;Wallis y Futuna
888;180;COD;Congo, Rep£blica Democr tica;Democratic Republic of the Congo;Rep£blica Democr tica del Congo
890;894;ZMB;Zƒmbia;Zambia;Zambia
895;592;PCZ;Zona do Canal do Panam ;Panama Canal Zone;Zona del Canal de Panam 
990;898;ZZZ;ProvisÆo de Navios e Aeronaves;Planes and ships provisions;Disposiciones para buques y aviones
994;898;ZZZ;A Designar;To define;A designar
995;898;ZZZ;Bancos Centrais;Central Banks;Bancos Centrales
997;898;ZZZ;Organiza‡äes Internacionais;International Organizations;Organizaciones Internacionales
998;898;ZZZ;Sem informa‡Æo;Sem informa‡Æo;Sem informa‡Æo
999;898;ZZZ;NÆo Declarados;Not declared;No declarados
